product,current_stock,ReorderPoint,EOQ,Inventory_Risk_Score
10002,483.75,73.42085273753626,1592.6283422270988,10
10080,45.449999999999996,6.898145233945268,629.8051646775734,40
10109,0.6,0.09106462355043257,79.68190728895958,90
10120,97.2,14.752469015170076,1434.2743312012724,10
10123C,79.8,12.111594932207533,754.0414800367154,10
10123G,5.7,0.8651139237291094,197.41924671712982,90
10124A,8.7,1.3204370414812725,303.4196632775998,70
10124G,4.8,0.7285169884034606,225.37446792760443,90
10125,234.0,35.51520318466871,1129.8047408800737,10
10133,424.05,64.35992269426822,1694.4898556717087,10
10134,42.3,6.420055960305497,387.8143885933063,40
10135,383.55,58.21306060461403,1179.6754547666767,10
10138,37.05,5.623240504239211,626.1497361362473,40
11001,278.55,42.276751483288315,840.8276426776293,10
15030,38.1,5.782603595452468,764.1387609439869,40
15034,1001.0999999999999,151.94132439389674,5662.645841359179,10
15036,1594.5,242.00423708527455,3023.5777213434844,10
15039,237.6,36.061590925971295,1117.160746753938,10
15044A,117.6,17.848666215884784,419.03210609098966,10
15044B,87.3,13.249902726587939,362.8439438025383,10
15044C,88.2,13.38649966191359,364.6884994795164,10
15044D,115.5,17.52994003345827,416.32485803159176,10
15056BL,291.0,44.1663424219598,470.00292482160387,10
15056N,301.05,45.69167486642955,476.9994059566593,10
15056P,120.89999999999999,18.349521645412164,301.9366165759528,10
15058A,46.8,7.103040636933741,169.477637862132,40
15058B,32.25,4.894723515835751,137.61094640322244,40
15058C,37.05,5.623240504239211,154.81192500673998,40
15060B,136.35,20.6944357018358,400.6456241638697,10
16008,471.15,71.50849564297718,3660.9918663912836,10
16010,4.8,0.7285169884034606,421.63702135578393,90
16011,571.8,86.78458624356225,3482.437116668776,10
16012,395.55,60.034353075622676,2897.5518355134705,10
16014,188.1,28.54875948306061,1417.8930995259718,10
16015,164.85,25.02000532048135,1224.412478943211,10
16016,173.54999999999998,26.34044236196262,956.4595207403264,10
16020C,12.299999999999999,1.8668247827838678,253.60150924274106,70
16033,774.15,117.49613053594564,5354.644920274567,10
16043,33.3,5.054086607049008,641.1794687223781,40
16044,7.199999999999999,1.0927754826051908,276.0262237369417,90
16045,1395.0,211.72524975475574,11404.27425417189,10
16046,109.95,16.687592265616768,792.3987108432196,10
16047,22.05,3.3466249154783974,339.54987505086615,40
16048,324.75,49.288727496671626,2720.6082778873924,10
16049,298.8,45.35018252811542,2141.5382756761987,10
16050,18.3,2.7774710182881934,570.379990298865,70
16051,10.799999999999999,1.6391632239077862,338.06170189140664,70
16052,73.05,11.087117917265166,904.3230440092261,10
